,track_name,artist(s)_name,artist_count,released_year,released_month,released_day,streams,danceability,energy,key_y,loudness,mode_y,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,time_signature,collaboration,months_before_christmas
344,Jhoome Jo Pathaan,"Arijit Singh, Vishal Dadlani, Sukriti Kakar, Vishal-Shekhar, Shekhar Ravjiani, Kumaar",6,2022,12,22,1365184,81.69999999999999,73.8,7,-7.639,1,7.48,9.64,0.0,33.1,61.6,104.964,208.164,4,1,0
345,Escapism. - Sped Up,"RAYE, 070 Shake",2,2022,11,25,184308753,43.5,76.8,6,-5.352,0,20.1,8.57,0.0231,9.18,37.8,107.588,239.888,4,1,1
346,Space Song,Beach House,1,2015,1,1,789753877,50.8,79.2,0,-7.311,0,2.97,22.9,12.4,14.499999999999998,60.1,147.067,320.467,4,0,11
347,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],"BTS, Jung Kook, FIFA Sound",3,2022,11,20,323358833,70.89999999999999,87.9,0,-4.218,1,4.2,15.8,0.158,44.1,34.0,114.99,201.391,4,1,1
348,Te Felicito,"Shakira, Rauw Alejandro",2,2022,4,21,606361689,69.5,63.6,5,-4.654,1,31.7,23.4,0.0,8.1,57.49999999999999,174.14,172.235,4,1,8
349,TV,Billie Eilish,1,2022,7,21,338564981,41.2,23.6,4,-15.159,0,3.790000000000001,83.0,0.653,14.7,11.9,140.214,281.38100000000003,4,0,5
350,I'm Not The Only One,Sam Smith,1,2014,1,1,1606986953,67.80000000000001,48.4,5,-5.795,1,3.61,52.900000000000006,0.00201,7.66,49.3,82.004,239.317,4,0,11
351,Heather,Conan Gray,1,2020,3,20,1301799902,35.7,42.5,5,-7.301,1,3.3300000000000005,58.4,0.0,32.2,27.0,102.078,198.04,3,0,9
352,"Besharam Rang (From ""Pathaan"")","Vishal-Shekhar, Shilpa Rao, Caralisa Monteiro, Kumaar, Vishal Dadlani, Shekhar Ravjiani",6,2022,12,12,140187018,77.3,79.5,8,-5.537,0,4.12,5.87,0.237,15.4,64.9,115.997,258.474,4,1,0
353,One Kiss (with Dua Lipa),"Calvin Harris, Dua Lipa",2,2017,6,2,1897517891,79.10000000000001,86.2,9,-3.24,0,11.0,3.7,0.00219,8.14,59.2,123.994,214.847,4,1,6
354,Sugar Rush Ride,TOMORROW X TOGETHER,1,2023,1,27,107642809,71.2,89.3,10,-3.995,0,8.51,0.788,0.0,16.900000000000002,82.8,125.022,186.571,4,0,11
355,Pink Venom,BLACKPINK,1,2022,8,19,551305895,68.4,75.1,4,-6.22,1,17.2,1.26,0.0,18.9,74.7,180.054,186.964,4,0,4
356,WAIT FOR U (feat. Drake & Tems),"Drake, Future, Tems",3,2022,4,27,556585270,46.3,64.2,1,-4.474,1,34.0,31.4,0.0,6.859999999999999,33.900000000000006,83.389,189.893,4,1,8
357,Don't Start Now,Dua Lipa,1,2019,10,31,2303033973,79.3,79.3,11,-4.521,0,8.3,1.23,0.0,9.51,67.9,123.95,183.29,4,0,2
358,After Dark,Mr.Kitty,1,2014,8,8,646886885,58.5,59.5,8,-10.444,1,3.28,6.959999999999999,26.6,8.37,3.9,140.037,259.147,4,0,4
