track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key_x,mode_x,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,spotify_id,danceability,energy,key_y,loudness,mode_y,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Last Last,Burna Boy,1,2022,5,12,4526,12,293466523,156,275,150,3,128,88,D#,Minor,80,55,56,13,0,8,9,57DarSfRMIVRCeDBGW0l5S,0.795,0.565,3,-4.457,0,0.0948,0.131,0.0,0.0802,0.55,87.925,audio_features,57DarSfRMIVRCeDBGW0l5S,spotify:track:57DarSfRMIVRCeDBGW0l5S,https://api.spotify.com/v1/tracks/57DarSfRMIVRCeDBGW0l5S,https://api.spotify.com/v1/audio-analysis/57DarSfRMIVRCeDBGW0l5S,172342,4
SNAP,Rosa Linn,1,2022,3,19,1818,0,711366595,3,0,63,0,353,170,,Major,56,52,64,11,0,45,7,5hx7w26Zi3zafMgvMTUqF6,0.565,0.636,0,-8.198,1,0.0622,0.107,9.9e-06,0.447,0.526,170.027,audio_features,5hx7w26Zi3zafMgvMTUqF6,spotify:track:5hx7w26Zi3zafMgvMTUqF6,https://api.spotify.com/v1/tracks/5hx7w26Zi3zafMgvMTUqF6,https://api.spotify.com/v1/audio-analysis/5hx7w26Zi3zafMgvMTUqF6,179551,4
SNAP,Rosa Linn,1,2022,3,19,1818,0,711366595,3,0,63,0,353,170,,Major,56,52,64,11,0,45,7,5hx7w26Zi3zafMgvMTUqF6,0.565,0.636,0,-8.198,1,0.0622,0.107,9.9e-06,0.447,0.526,170.027,audio_features,5hx7w26Zi3zafMgvMTUqF6,spotify:track:5hx7w26Zi3zafMgvMTUqF6,https://api.spotify.com/v1/tracks/5hx7w26Zi3zafMgvMTUqF6,https://api.spotify.com/v1/audio-analysis/5hx7w26Zi3zafMgvMTUqF6,179551,4
Sticky,Drake,1,2022,6,17,2814,0,191448892,38,105,25,0,2,137,A#,Minor,88,8,49,9,0,9,14,4rmVZajAF7PkrCagGPHbqa,0.853,0.495,6,-14.63,1,0.14,0.0917,0.000217,0.0844,0.0774,137.027,audio_features,4rmVZajAF7PkrCagGPHbqa,spotify:track:4rmVZajAF7PkrCagGPHbqa,https://api.spotify.com/v1/tracks/4rmVZajAF7PkrCagGPHbqa,https://api.spotify.com/v1/audio-analysis/4rmVZajAF7PkrCagGPHbqa,243228,4
Hot Shit (feat. Ye & Lil Durk),"Kanye West, Lil Durk, Cardi B",3,2022,7,1,1601,0,85924992,11,0,2,0,0,157,A,Major,88,52,69,0,0,8,23,3uJFmluXzYedoJcvhpC1AW,0.878,0.685,9,-5.28,1,0.225,0.00152,0.0,0.0753,0.523,157.003,audio_features,3uJFmluXzYedoJcvhpC1AW,spotify:track:3uJFmluXzYedoJcvhpC1AW,https://api.spotify.com/v1/tracks/3uJFmluXzYedoJcvhpC1AW,https://api.spotify.com/v1/audio-analysis/3uJFmluXzYedoJcvhpC1AW,211649,4
Ai Preto,"L7nnon, DJ Biel do Furduncinho, Bianca",3,2022,6,3,894,4,176103902,28,0,54,0,0,130,F#,Major,95,83,57,54,0,10,25,5vC8UAOHeG95ehRzZChniB,0.953,0.57,6,-5.149,1,0.245,0.537,0.0,0.0993,0.834,129.947,audio_features,5vC8UAOHeG95ehRzZChniB,spotify:track:5vC8UAOHeG95ehRzZChniB,https://api.spotify.com/v1/tracks/5vC8UAOHeG95ehRzZChniB,https://api.spotify.com/v1/audio-analysis/5vC8UAOHeG95ehRzZChniB,131583,4
La Loto,"Anitta, Tini, Becky G",3,2022,7,6,945,0,121189256,49,3,57,0,0,90,C#,Major,85,80,83,10,0,8,11,3AbNNvo2OmyeDMvRBgf9vk,0.855,0.83,1,-2.815,1,0.106,0.0783,1.31e-06,0.08,0.775,90.009,audio_features,3AbNNvo2OmyeDMvRBgf9vk,spotify:track:3AbNNvo2OmyeDMvRBgf9vk,https://api.spotify.com/v1/tracks/3AbNNvo2OmyeDMvRBgf9vk,https://api.spotify.com/v1/audio-analysis/3AbNNvo2OmyeDMvRBgf9vk,190667,4
die first,Nessa Barrett,1,2022,6,24,767,0,131746175,25,0,22,0,0,183,G#,Minor,44,44,67,7,0,12,13,3TfDUStpnEVIlsNlgcKQgJ,0.444,0.669,8,-6.727,0,0.125,0.0669,0.0,0.124,0.44,183.441,audio_features,3TfDUStpnEVIlsNlgcKQgJ,spotify:track:3TfDUStpnEVIlsNlgcKQgJ,https://api.spotify.com/v1/tracks/3TfDUStpnEVIlsNlgcKQgJ,https://api.spotify.com/v1/audio-analysis/3TfDUStpnEVIlsNlgcKQgJ,177109,4
Afraid To Feel,LF System,1,2022,5,2,5898,5,244790012,129,55,128,0,101,128,C#,Major,58,68,91,2,0,27,11,40SBS57su9xLiE1WqkXOVr,0.578,0.912,1,-3.929,1,0.114,0.0166,0.00362,0.273,0.68,127.87,audio_features,40SBS57su9xLiE1WqkXOVr,spotify:track:40SBS57su9xLiE1WqkXOVr,https://api.spotify.com/v1/tracks/40SBS57su9xLiE1WqkXOVr,https://api.spotify.com/v1/audio-analysis/40SBS57su9xLiE1WqkXOVr,177525,4
Baile no Morro,"Mc Vitin Da Igrejinha, MC Tairon, DJ Win",3,2022,6,10,685,2,129314708,17,0,24,0,30,130,D#,Minor,71,78,40,46,0,7,45,2UdsMaQLjbjOeo73zDbjwP,0.714,0.404,3,-7.903,0,0.452,0.457,0.0,0.0701,0.782,130.088,audio_features,2UdsMaQLjbjOeo73zDbjwP,spotify:track:2UdsMaQLjbjOeo73zDbjwP,https://api.spotify.com/v1/tracks/2UdsMaQLjbjOeo73zDbjwP,https://api.spotify.com/v1/audio-analysis/2UdsMaQLjbjOeo73zDbjwP,140308,4
Bad Decisions (with BTS & Snoop Dogg),"Snoop Dogg, BTS, Benny Blanco",3,2022,8,5,1456,0,219196651,53,2,33,0,0,120,,Major,77,94,87,2,0,23,12,0xzI1KAr0Yd9tv8jlIk3sn,0.762,0.861,0,-3.296,1,0.0955,0.0185,0.0,0.264,0.955,120.048,audio_features,0xzI1KAr0Yd9tv8jlIk3sn,spotify:track:0xzI1KAr0Yd9tv8jlIk3sn,https://api.spotify.com/v1/tracks/0xzI1KAr0Yd9tv8jlIk3sn,https://api.spotify.com/v1/audio-analysis/0xzI1KAr0Yd9tv8jlIk3sn,172714,4
STAYING ALIVE (feat. Drake & Lil Baby),"Drake, DJ Khaled, Lil Baby",3,2022,8,5,2107,0,170732845,51,1,50,0,0,130,E,Minor,72,18,46,7,0,28,8,0g2Bbgy7P41pFjMWJuzsf4,0.718,0.461,4,-7.676,0,0.0797,0.068,0.0,0.283,0.181,129.953,audio_features,0g2Bbgy7P41pFjMWJuzsf4,spotify:track:0g2Bbgy7P41pFjMWJuzsf4,https://api.spotify.com/v1/tracks/0g2Bbgy7P41pFjMWJuzsf4,https://api.spotify.com/v1/audio-analysis/0g2Bbgy7P41pFjMWJuzsf4,178176,4
Caile,Luar La L,1,2020,12,18,1494,2,273914335,17,12,15,0,0,122,,Major,70,46,76,30,0,9,45,6i1g5ZRmJZAkDwBaUZ3f2i,0.704,0.756,0,-4.948,1,0.448,0.298,3.75e-06,0.0852,0.461,121.737,audio_features,6i1g5ZRmJZAkDwBaUZ3f2i,spotify:track:6i1g5ZRmJZAkDwBaUZ3f2i,https://api.spotify.com/v1/tracks/6i1g5ZRmJZAkDwBaUZ3f2i,https://api.spotify.com/v1/audio-analysis/6i1g5ZRmJZAkDwBaUZ3f2i,141340,3
Si Te La Encuentras Por Ahï¿,Feid,1,2022,8,5,1379,4,179061440,23,10,18,0,0,172,G#,Minor,74,46,58,15,0,13,8,2vsoD8S1OyrWSVIA43hjaU,0.736,0.569,8,-3.559,0,0.0779,0.144,5.27e-05,0.112,0.433,171.973,audio_features,2vsoD8S1OyrWSVIA43hjaU,spotify:track:2vsoD8S1OyrWSVIA43hjaU,https://api.spotify.com/v1/tracks/2vsoD8S1OyrWSVIA43hjaU,https://api.spotify.com/v1/audio-analysis/2vsoD8S1OyrWSVIA43hjaU,191507,4
GIVENCHY,Duki,1,2022,7,20,625,4,185236961,13,18,12,0,0,103,G#,Major,61,38,62,14,0,23,40,6bTVP50bbtMtD6RGe2cUoQ,0.607,0.619,8,-6.726,1,0.396,0.142,0.0,0.231,0.377,102.974,audio_features,6bTVP50bbtMtD6RGe2cUoQ,spotify:track:6bTVP50bbtMtD6RGe2cUoQ,https://api.spotify.com/v1/tracks/6bTVP50bbtMtD6RGe2cUoQ,https://api.spotify.com/v1/audio-analysis/6bTVP50bbtMtD6RGe2cUoQ,182611,3
Mary On A Cross,Ghost,1,2019,9,13,2668,2,387080183,38,266,78,0,141,130,B,Major,47,56,90,0,0,10,4,2wBnZdVWa5jVpvYRfGU7rP,0.463,0.898,11,-4.462,1,0.0467,0.000288,0.000236,0.111,0.563,129.987,audio_features,2wBnZdVWa5jVpvYRfGU7rP,spotify:track:2wBnZdVWa5jVpvYRfGU7rP,https://api.spotify.com/v1/tracks/2wBnZdVWa5jVpvYRfGU7rP,https://api.spotify.com/v1/audio-analysis/2wBnZdVWa5jVpvYRfGU7rP,244804,4
Attention,NewJeans,1,2022,8,1,799,12,264717480,14,141,9,0,1,105,A#,Minor,81,70,65,24,0,8,4,2pIUpMhHL6L9Z5lnKxJJr9,0.811,0.648,10,-3.684,0,0.0368,0.236,0.0,0.0761,0.695,104.988,audio_features,2pIUpMhHL6L9Z5lnKxJJr9,spotify:track:2pIUpMhHL6L9Z5lnKxJJr9,https://api.spotify.com/v1/tracks/2pIUpMhHL6L9Z5lnKxJJr9,https://api.spotify.com/v1/audio-analysis/2pIUpMhHL6L9Z5lnKxJJr9,180067,4
THE SHADE,Rex Orange County,1,2022,3,11,1189,6,244928911,17,10,16,0,4,120,F,Major,90,73,51,39,0,9,6,1gH1h30wkQdd9zhY3j7a8T,0.898,0.509,5,-7.973,1,0.062,0.391,0.0,0.0876,0.727,119.869,audio_features,1gH1h30wkQdd9zhY3j7a8T,spotify:track:1gH1h30wkQdd9zhY3j7a8T,https://api.spotify.com/v1/tracks/1gH1h30wkQdd9zhY3j7a8T,https://api.spotify.com/v1/audio-analysis/1gH1h30wkQdd9zhY3j7a8T,181507,4
"Come Back Home - From ""Purple Hearts""",Sofia Carson,1,2022,7,12,367,0,97610446,28,67,195,0,0,145,G,Major,56,43,53,24,0,12,4,2mPXui72mlIYR5sQUPZXwP,0.563,0.532,7,-7.726,1,0.0416,0.236,9.75e-06,0.122,0.429,145.001,audio_features,2mPXui72mlIYR5sQUPZXwP,spotify:track:2mPXui72mlIYR5sQUPZXwP,https://api.spotify.com/v1/tracks/2mPXui72mlIYR5sQUPZXwP,https://api.spotify.com/v1/audio-analysis/2mPXui72mlIYR5sQUPZXwP,176859,4
El Rescate,"Grupo Marca Registrada, Junior H",2,2022,7,22,527,4,287278853,10,43,3,1,0,99,G,Minor,79,64,59,28,0,11,14,4w273WCBXwM4P3jTX5HkB2,0.794,0.594,7,-8.698,0,0.139,0.283,0.000381,0.109,0.637,99.238,audio_features,4w273WCBXwM4P3jTX5HkB2,spotify:track:4w273WCBXwM4P3jTX5HkB2,https://api.spotify.com/v1/tracks/4w273WCBXwM4P3jTX5HkB2,https://api.spotify.com/v1/audio-analysis/4w273WCBXwM4P3jTX5HkB2,160897,3
